dfk_flurst,inj_well_id,inj_x_coord,inj_y_coord,ex_well_id,ex_x_coord,ex_y_coord,gwm,kf,fa,d_vel,st_distance,max_potential_pump,max_demand_pump,buildings_per_plot,plume_length,plume_width
8662/1669/1,53532,680290.362595368,5335823.65107362,72474,680268.771219219,5335801.35727565,8.1,0.00275717,7.5,3.489e-05,31.0354789222887,14.0334490603985,0.313463348448687,1,14.6773337015062,6.27781610138787
8662/1647/3,53341,680233.378749318,5336073.43602306,72283,680211.474937366,5336052.33435073,8.7,0.00321765,6.1,4.04e-05,30.4147588038007,17.1042870789758,1.30165833910103,1,89.5448429606556,15.7701430739288
8662/1667/2,99522,680330.934254198,5335866.20687146,118464,680326.342559229,5335860.99463716,8.2,0.00268642,7.4,3.462e-05,6.9462975107036,3.15510835604573,1.34742911634845,1,129.925236451023,19.0621052247304
8662/1573/4,53202,680158.079841616,5335779.78246615,72144,680161.796960013,5335734.82978996,8.0,0.00311004,7.3,3.906e-05,45.1060978794609,22.5516055445983,0.165095769490851,1,4.82521396933575,3.5623293968634
8662/1576/4,90321,680232.057041097,5335860.11060051,109263,680192.776443548,5335832.39615494,8.2,0.00297161,7.2,3.737e-05,48.0734421174825,23.5701394589258,1.02720785123309,2,77.1130832529074,14.6141488960373
8662/1647/8,54885,680207.004833537,5336174.69828086,73827,680181.643288515,5336151.689197,8.8,0.00331987,5.8,3.739e-05,34.2436257707163,18.0275978793445,0.253446378281623,1,8.49411089472756,4.7514594702998
8662/1586/4,55160,680081.946080158,5336005.55861285,74102,680081.005488968,5335994.19236769,8.7,0.00345619,6.5,4.266e-05,11.4050971448377,6.77265690324697,0.407936215990453,1,14.4785222275785,6.23435951929092
8662/1578/11,55021,680191.665059938,5335878.16981073,73963,680190.666047598,5335853.76875299,8.3,0.00311403,6.9,3.906e-05,24.4214996435052,12.6678421462802,0.238838984486874,1,7.94489798539173,4.5924166773366
8662/1668/4,52899,680312.05851454,5335853.77648055,71841,680299.968453126,5335833.91211263,8.2,0.0026875,7.3,3.489e-05,23.2543049356009,10.6448162135449,0.469953054892602,1,26.4518152653281,8.4742308407177
8662/1440/8,52729,679957.727235165,5335918.86783443,71671,679941.991764802,5335909.95707794,8.4,0.00360999,7.1,4.509e-05,18.083324050288,10.9586679743854,0.452025565831345,1,16.3814075008443,6.63904863443712
8662/1435/2,53121,679900.183183891,5335969.64381582,72063,679883.232928969,5335947.16649946,8.5,0.00360906,7.2,4.409e-05,28.1521028119214,16.8806764964956,0.349810686953063,1,11.3307086197517,5.50255721304729
8662/1654/3,129659,680319.025085683,5336110.94524779,148601,680293.137413612,5336093.24390802,8.7,0.00305946,7.0,4.283e-05,31.3609469726795,18.6971958750509,0.366934864359586,1,12.2780239177303,5.73225807958244
8662/1656/6,53450,680311.806513298,5336073.82436583,72392,680306.835182084,5336042.71946288,8.6,0.00304844,6.7,3.957e-05,31.4996685956217,17.1510403558836,0.4793874783214,1,21.0077371533921,7.5357788090579
